Description         Part Number         Etch Number    No. of Chips
FA                  N612 4401 002       412-4401-802
DATA PAD            N612 4402 003       412-4402-602
DATA PAD            N612 4402 003       412-4402-602
DATA PAD            N612 4402 003       412-4402-602
DATA PAD            N612 4402 003       412-4402-602
MAIN DATA           N612 4244 133       412-4244-603
MAIN DATA           N612 4244 205       412-4244-604
MAIN DATA           N612 4244 216       412-4244-604
MAIN DATA           612-4244-210/133    412-4244-604
MD +5 ONLY          N612 4424 027       412-4424-?
TM                  N612 4425 026       412-4425-401
TM                  N612 4425 026       412-4425-401
FM                  N612 4426 003       412-4426-602   NO CHIPS
FM                  N612 4426 003       412-4426-602   NO CHIPS
FM                  N612 4426 003       412-4426-602   NO CHIPS
FM                  N612 4426 003       412-4426-602   4 CHIPS
CUSTOM FORMATTER    N612 4446 005       412-4446-001
CUSTOM FORMATTER    N612 4446 005       412-4446-001
CIO                 N612 4447 003       412-4447-002
CIO                 N612 4447 003       412-4447-002
AP I/F              N612 4448 014       412-4448-002
AP I/F              N612 4448 014       412-4448-002
BIRP I/F            N612 4477 002       412-4477-002
BIRP I/F            N612 4477 002       412-4477-002
MD PORT             N612 4481 008       412-4481-001
MD PORT             N612 4481 006       412-4481-001
PIXEL MEM           N612 4482 003       412-4482-001
P1 (4K)             N612 4422 002       412-4422-802
P1 (4K)             N612 4422 002       412-4422-802
P2 (4K)             N612 4423 003       412-4423-601
P2 (4K)             N612 4423 003       412-4423-601
P3                  N612 4408 005       412-4408-901
P3                  N612 4408 005       412-4408-901
CPROC CTRLR         N612 4324 006       412-4324-702
FIFO/FPROC/CTL      N612 4329 004       412-4329-601
FPROC               N612 4330 002       412-4330-701
IRP 1               N612-4275-001       412-4275-200
IRP 2               N612 4276 002       412-4276-200
DATA PAD            N612 4200 002       412-4200-302
DATA PAD            N612 4200 002       412-4200-302
S PAD               N612 4201 004       412-4201-304
S PAD               N612 4201 004       412-4201-304
FADD 1              N612 4203 002       412-4203-203
FADD 1              N612 4203 002       412-4203-203
FADD 2              N612 4204 002       412-4204-403
FADD 2              N612 4204 002       412-4204-403
FADD 3              205                 412-4205-000
FADD 3              N612 4205 001       412-4205-302
FMUL A              N612 4206 001       412-4206-201
FMUL A              N612 4206 001       412-4206-201
FMUL B              N612 4207 002       412-4207-202
FMUL B              N612 4207 002       412-4207-202
ADDR                N612 4212 010       412-4212-303
ADDR                N612 4212 010       412-4212-303
REG                 N612 4213 001       412-4213-201
REG                 N612 4213 001       412-4213-201
TM ROM              217                 412-4217-000
GP I/F              219                 412-4219-000
GP I/F              219                 412-4219-000
NOVA I/F            219-025             412-4219-000
NOVA I/F            219                 412-4219-000
FMTM                N612 4226 011       412-4226-303
FMTM                N612 4226 011       412-4226-303
FMT E               227                 412-4227-000
FMT E               N612 4227 027       412-4227-201
PS RAM 2K           N612 4236 003       412-4236-400
PS RAM 2K           N612 4236 003       412-4236-000
TM RAM BOARD        N612 4238 007       412-4238-000
TM RAM BOARD        N612 4238 007       412-4238-000

69 Boards * (1.37 lbs. / board) = 94.53 lbs.
94.53 lbs.  * ($08.50 / lbs.)   = $803.50
4 chips   * ($80.00 / chip)     = $320.00
Freight shipping                = $250.00
Total                           = $1,373.50
