Usagi's FPS-3000
612-4808-001-A  V-BUS SBC       VM02 SGL BD CMPTR
612-4803-400-G  V-BUS XLTR      V-BUS XLTR 3 BIMS
612-4804-003-E  UNIV FMT        UNIV FMT 32 BIT IEEE FPS3000
612-4448-401-F  AP I/F          APIF
612-4805-002-R  XP32 EXEC       805 XP32 EXECUTIVE
612-4806-002-F  XP32 ARITH      806 XP32 ARITHMETIC
612-4498-401-A  MEM CTRL        MEM CTRL MP32
612-4456-403-C  MAIN DATA       MAIN DATA 1 MEG 32 BIT TERM

Usagi's (cw's) FPS-100
612-4401-002-D  FA              401-B FA (Floating Adder)
612-4402-003-B  DATA PAD        402-B DP (Data Pad Left)
612-4402-003-C  DATA PAD        402-B DP (Data Pad Right)
612-4426-003-D  FM              426-B FM (Floating Multiplier)
612-4424-019-F  MAIN DATA       424-C MD 32K
612-4425-024-E  TM              425-A TM 4.5K ROM 0K RAM (Table Memory)
612-4423-003-B  P2 (4K)         423-A P2 4K 2.5K TM ROM
612-4422-002-D  P1 (4K)         422-B P1 4K
612-4408-005-D  P3              408-A P3
612-4258-004-A  DB38            258-A DB-38
612-4437-009-A  IOP16           437-0 IOP38-T CTRL (??)
612-4429-003-4  FMT             429-A FMT PDP11
612-4421-003-L  PDP-11 I/F      421-E GP I/F PDP11

Cully's FPS-100
612-4401-002-E  FA              401-B FA (Floating Adder)
612-4402-003-D  DATA PAD        402-B DP (Data Pad Left)
612-4402-003-D  DATA PAD        402-B DP (Data Pad Right)
612-4426-003-D  FM              426-B FM (Floating Multiplier)
612-4424-032-B  MD              424 MD MEM (???k Memory)
612-4425-026-F  TM              425-A TM 2.5K ROM 8K RAM (Table Memory)
612-4423-003-C  P2 (4K)         423-A P2 4K 2.5K TM ROM
612-4422-002-E  P1 (4K)         422-B P1 4K
612-4408-005-G  P3              408-A P3
612-4424-031-B  MD              424 MD MEM (???k Memory)
612-4456-000-B  MD              456 MD MEM +5V ONLY 256K TERM
612-4456-001-B  MD              456 MD MEM +5V ONLY 256K UNTERM
612-4274-002-E  PASPAR          PG SEL
612-4446-005-?  CUSTOM FMT      446 FORMATTER CF RDCP
612-4448-014-A  AP I/F          4448 APIF FPS100
612-4360-010-B  ADPTR           360 DG ADAPTOR RDCP (Plugs into DG)

JamunRaja's FPS-5100
612-4401-002-E  FA              401-B FA (Floating Adder)
612-4402-003-E  DATA PAD        402-B DP (Data Pad Left)
612-4402-003-E  DATA PAD        402-B DP (Data Pad Right)
612-4426-003-F  FM              426-B FM (Floating Multiplier)
612-4496-001-A  MAIN DATA       496-A 256K MAIN DATA 240 PIN
612-4425-029-F  TM              425-A TM 4.5K ROM 8K RAM (Table Memory)
612-4800-001-A  P2              800 P2 16K PS 2.5K TM
612-4801-000-A  P1              801 P1 16K PS
612-4408-005-H  P3              408-A P3
612-4497-000-E  MPL             497 MPL #1
612-4456-100-2  MAIN DATA       456 MAIN DATA 256K 4MHZ UNTERM
612-4429-005-B  FMT             429-A FMT VAX
612-4421-014-E  I/F             421-E UB I/F FPS51/5400



Dave McGuire's AP-120B
612-4208-???-0  FMUL C         Floating Multiplier C
612-4207-???-A  FMUL B         Floating Multiplier B
612-4206-???-A  FMUL A         Floating Multiplier A
612-4205-???-B  FADD 3         Floating Adder 3
612-4204-???-B  FADD 2         Floating Adder 2
612-4203-???-B  FADD 1         Floating Adder 1
612-4200-???-A  DATA PAD       Data Pad Left and Right
612-4200-???-A  DATA PAD       Data Pad Left and Right
612-4213-???-A  MIREG          Memory Input Register
612-4209-???-B  TMREG          Table Memory Register
612-4217-???-A  TM ROM         Table Memory ROM
612-4202-???-C  MDREG          Main Data Register
612-4211-???-B  CB2            Control Buffer 2
612-4210-???-B  CB1            Control Buffer 1
612-4214-???-B  EXPAN          Expansion of CB1
612-4212-???-B  ADDR           Address LGC INSTR
612-4201-???-C  S PAD          Scratch Pad
612-4236-???-0  PS RAM 2K      Program Source RAM
612-4215-???-C  MD MEM         Main Data Memory
612-4215-???-C  MD MEM         Main Data Memory
612-4226-???-?  FMT M          Format Mantissa
612-4227-???-?  FMT E          Format Exponent
612-4218-???-?  PDP-11 I/F     PDP-11 Interface

BD4SUP's AP-120B
612-4208-001-D  FMUL C         Floating Multiplier C
612-4207-002-A  FMUL B         Floating Multiplier B
612-4206-001-B  FMUL A         Floating Multiplier A
612-4205-???-B  FADD 3         Floating Adder 3
612-4204-???-B  FADD 2         Floating Adder 2
612-4203-???-B  FADD 1         Floating Adder 1
612-4200-002-A  DATA PAD       Data Pad Left and Right
612-4200-002-A  DATA PAD       Data Pad Left and Right
612-4213-001-A  MIREG          Memory Input Register
612-4209-002-A  TMREG          Table Memory Register
612-4217-007-B  TM ROM         Table Memory ROM
612-4202-005-A  MDREG          Main Data Register
612-4211-003-B  CB2            Control Buffer 2
612-4210-304-C  CB1            Control Buffer 1
612-4214-005-E  EXPAN          Expansion of CB1
612-4212-010-B  ADDR           Address
612-4201-004-B  S PAD          Scratch Pad
612-4236-003-A  PS RAM 2K      Program Source RAM
